,Epoch,Cls_loss,Transfer_loss,Total_loss,Tar_acc
0,0,3.3507533570130668,0.16137336691220602,3.5121267239252725,10.3144655
1,1,2.8199490209420524,0.15920395652453104,2.9791529973347983,47.421383
2,2,1.7633338421583176,0.15287970503171286,1.9162135422229767,63.647797
3,3,1.1501047313213348,0.1417269011338552,1.29183163245519,68.30189
4,4,1.0285033906499546,0.12801633278528848,1.1565197184681892,71.69811
5,5,0.7337589934468269,0.11944320797920227,0.8532021952172121,75.72327
6,6,0.7180243295927843,0.10867746671040852,0.8267017938196659,75.34591
7,7,0.5803683406362931,0.10713533560434978,0.6875036768615246,78.23899
8,8,0.5443999196092287,0.10155385732650757,0.6459537744522095,72.830185
9,9,0.5026220145324866,0.09700394670168559,0.5996259612341722,73.71069
10,10,0.43044638199110824,0.09223056832949321,0.5226769521832466,73.83648
11,11,0.3798708400378625,0.0921360154946645,0.4720068536698818,73.58491
12,12,0.34645625203847885,0.08436052997907002,0.43081678077578545,74.21384
13,13,0.30465633670488995,0.08373863498369853,0.3883949729303519,75.34591
14,14,0.3125815338765581,0.07677634557088216,0.389357880068322,73.71069
15,15,0.3360159192234278,0.0760740339756012,0.4120899513363838,75.34591
16,16,0.2273812691370646,0.07728664080301921,0.3046679099400838,73.83648
17,17,0.273956098438551,0.07004857063293457,0.3440046726415555,76.98113
18,18,0.24223115403826037,0.06707570950190227,0.3093068640058239,73.83648
19,19,0.2193989713365833,0.06573393940925598,0.28513291105628014,74.21384
20,20,0.2223230816113452,0.06333347161610921,0.2856565546244383,72.201256
21,21,0.18821310088969767,0.06148403882980347,0.24969713917622963,76.98113
22,22,0.18462398508563638,0.06262884537378947,0.24725282999376455,76.3522
23,23,0.13488023138294616,0.060371855894724526,0.19525208851943412,74.33962
24,24,0.10442618936455499,0.061201790968577065,0.1656279799838861,74.46541
25,25,0.12453746081640323,0.0543952484925588,0.17893270899852118,74.21384
26,26,0.11459261493291706,0.05047361056009928,0.16506622591987252,75.84905
27,27,0.10192773549351841,0.052305479844411217,0.15423321537673473,76.3522
